word,Codes
trapmaxx,LOA
daygame,LOA 
smartcel,LOA 
thugmaxx,LOA 
thugmaxxed,LOA 
careermax,LOA - Class
poorcel,LOA - Class
poorcels,LOA - Class
povertycel,LOA - Class
standardcel,LOA - Class
statusmax,LOA - Class
statusmaxxing,LOA - Class
stemcel,LOA - Class
stemcelling,LOA - Class
stemcels,LOA - Class
studycel,LOA - Class
studycelling,LOA - Class
wagecel,LOA - Class
wagecelling,LOA - Class
wagecels,LOA - Class
anxietycel,LOA - MH
babydick,LOA - PA
babyfacecel,LOA - PA
babyfaced,LOA - PA
baldingcel,LOA - PA
birdcel,LOA - PA
birdcels,LOA - PA
bonestructure,LOA - PA
chadfish,LOA - PA
chadfishing,LOA - PA
chincel,LOA - PA
chincels,LOA - PA
cursedimages,LOA - PA
cutecel,LOA - PA
deformedcel,LOA - PA
degeneratemaxxing,LOA - PA
dickcel,LOA - PA
dicklet,LOA - PA
dicklets,LOA - PA
dyel,LOA - PA
eyecel,LOA - PA
facemog,LOA - PA
facemogs,LOA - PA
facewise,LOA - PA
failo,LOA - PA
fashionmaxx,LOA - PA
fashionmaxxing,LOA - PA
fatcel,LOA - PA
framecel,LOA - PA
framelet,LOA - PA
framemog,LOA - PA
framemogs,LOA - PA
fwhr,LOA - PA
gainit,LOA - PA
gigastacies,LOA - PA
gigastacy,LOA - PA
goblincel,LOA - PA
gomad,LOA - PA
gymbro,LOA - PA
gymbros,LOA - PA
gymcel,LOA - PA
gymceled,LOA - PA
gymcell,LOA - PA
gymcelled,LOA - PA
gymcelling,LOA - PA
gymcels,LOA - PA
gyming,LOA - PA
gymmax,LOA - PA
gymming,LOA - PA
handcel,LOA - PA
heightcel,LOA - PA
heightcels,LOA - PA
heightism,LOA - PA
heightist,LOA - PA
heightists,LOA - PA
heightmog,LOA - PA
heightmogging,LOA - PA
heightmogs,LOA - PA
heightpill,LOA - PA
incelselfies,LOA - PA
jawcel,LOA - PA
jawcels,LOA - PA
jawmogs,LOA - PA
lanklet,LOA - PA
lanklets,LOA - PA
legbeard,LOA - PA
legbeards,LOA - PA
manlet,LOA - PA
manletcel,LOA - PA
manletcels,LOA - PA
manletism,LOA - PA
manlets,LOA - PA
manwhale,LOA - PA
neckbearded,LOA - PA
nosecel,LOA - PA
nosecels,LOA - PA
ogrecel,LOA - PA
ogrecels,LOA - PA
okayish,LOA - PA
oldcel,LOA - PA
oldcels,LOA - PA
personalitymaxxing,LOA - PA
roidcel,LOA - PA
roidcelling,LOA - PA
roidmaxx,LOA - PA
rolleyes,LOA - PA
shortcel,LOA - PA
shortcels,LOA - PA
showermaxxing,LOA - PA
skinnycels,LOA - PA
skullcel,LOA - PA
skullmogged,LOA - PA
stacys,LOA - PA
stblackops,LOA - PA
stblackopscel,LOA - PA
studymaxxing,LOA - PA
surgerymaxing,LOA - PA
surgerymaxxing,LOA - PA
tallcel,LOA - PA
trollcel,LOA - PA
truecel,LOA - PA
truecell,LOA - PA
uggocel,LOA - PA
uglycel,LOA - PA
uglyduckling,LOA - PA
unmoggable,LOA - PA
vocel,LOA - PA
vocels,LOA - PA
voicecel,LOA - PA
voicel,LOA - PA
voicels,LOA - PA
womanlets,LOA - PA
wristcel,LOA - PA
wristcels,LOA - PA
wristmogs,LOA - PA
wswswy,LOA - PA
youngcel,LOA - PA
youngcels,LOA - PA
bloatmaxx,LOA - PA 
bloatmaxxing,LOA - PA 
lookism,LOA - PA 
lookist,LOA - PA 
lookists,LOA - PA 
lookmatch,LOA - PA 
lookmaxing,LOA - PA 
lookmaxx,LOA - PA 
looksism,LOA - PA 
lookslevel,LOA - PA 
looksmatch,LOA - PA 
looksmatched,LOA - PA 
looksmatching,LOA - PA 
looksmax,LOA - PA 
looksmaxed,LOA - PA 
lookstheory,LOA - PA 
lookswise,LOA - PA 
maxcel,LOA - PA 
maxcell,LOA - PA 
blackopscel,LOA - Pol 
nazicel,LOA - Pol 
nazicels,LOA - Pol 
amwf,LOA - Race
arabcel,LOA - Race
asiancel,LOA - Race
asiancels,LOA - Race
beancel,LOA - Race
blackcel,LOA - Race
blackcels,LOA - Race
browncels,LOA - Race
caucasoids,LOA - Race
currycells,LOA - Race
currycels,LOA - Race
currypill,LOA - Race
ethniccel,LOA - Race
ethnicels,LOA - Race
hapacel,LOA - Race
hapacels,LOA - Race
jewcel,LOA - Race
jewcels,LOA - Race
justbewhite,LOA - Race
kebabcel,LOA - Race
kebabcels,LOA - Race
mudshark,LOA - Race
mudsharks,LOA - Race
muslimcel,LOA - Race
muslimcels,LOA - Race
racecoping,LOA - Race
ricecel,LOA - Race
ricecels,LOA - Race
sandcel,LOA - Race
sandcels,LOA - Race
slavcel,LOA - Race
stormfrontcel,LOA - Race
stormfrontcels,LOA - Race
terroristcels,LOA - Race
tryone,LOA - Race
turbancel,LOA - Race
tyrones,LOA - Race
tyronne,LOA - Race
brocel,LOA - SM
brothercel,LOA - SM
brothercels,LOA - SM
calculatorcel,LOA - SM
drugcel,LOA - SM
dumbcel,LOA - SM
dumbcels,LOA - SM
escortcel,LOA - SM
escortceling,LOA - SM
escortcelling,LOA - SM
escortcels,LOA - SM
fellowcels,LOA - SM
finalfantasycel,LOA - SM
incelistan,LOA - SM
incellah,LOA - SM
incelocalypse,LOA - SM
incelosphere,LOA - SM
incelqueer,LOA - SM
incelqueers,LOA - SM
incelspeak,LOA - SM
incelsphere,LOA - SM
iqcel,LOA - SM
iqcels,LOA - SM
itcels,LOA - SM
iters,LOA - SM
lazycel,LOA - SM
locationcel,LOA - SM
lowiqcel,LOA - SM
lowiqcels,LOA - SM
modricel,LOA - SM
neetcel,LOA - SM
neetcels,LOA - SM
neetdom,LOA - SM
neeting,LOA - SM
pedocel,LOA - SM
pedocels,LOA - SM
weebcel,LOA - SM
weebcels,LOA - SM
braincell,Member
femcel,Member
femcels,Member
incels,Member
mghow,Member
mgotw,Member
mgow,Member
mgtowers,Member
mgtows,Member
migtow,Member
trper,Member
truefemcels,Member
austistic,MH
copers,MH
deathfuel,MH
gigacope,MH
gymcope,MH
hopecel,MH
hopefuel,MH
itsover,MH
ldar,MH
ldared,MH
ldaring,MH
lifefuel,MH
megacope,MH
mental cel,MH
mentalcel,MH
mentalcels,MH
monkmode,MH
nsfl,MH
personalitycels,MH
ragefuel,MH
sanctionedsuicide,MH
suicidefuel,MH
suicidewatch,MH
suiciding,MH
suifeul,MH
suifuel,MH
suiwatch,MH
supportcel,MH
desexualized,OF
femcentric,OF
feminasties,OF
feminizes,OF
femnazi,OF
fempire,OF
fempocalypse,OF
femspeak,OF
femtard,OF
gynocentic,OF
gynocentrics,OF
gynocracy,OF
gynocratic,OF
meetoo,OF
meninism,OF
menkampf,OF
mensez,OF
misandrous,OF
muhsoggyknee,OF
nawalts,OF
oppreshun,OF
pedestalise,OF
pedestalization,OF
pedestalize,OF
pedestalized,OF
pedestalizing,OF
plowhorse,OF
poundmetoo,OF
providership,OF
pussification,OF
pussyhat,OF
tradcon,OF
tradcons,OF
tradcuckery,OF
tradecon,OF
tradthot,OF
tradthots,OF
tradwife,OF
trannymax,OF
trannymaxx,OF
triggerd,OF
trigglypuff,OF
womansplain,OF
womanspreading,OF
soginy,OF 
acalt,TM
biotroofs,TM
biotruth,TM
biotruths,TM
boobologist,TM
catcel,TM
catcels,TM
dogpill,TM
inceldense,TM
inceltards,TM
incelz,TM
inzel,TM
jooz,TM
misogynatomy,TM
nopoop,TM
pigtow,TM
poscels,TM
puahate,TM
racistcel,TM
rapecel,TM
retardcel,TM
retardcels,TM
rightcels,TM
righters,TM
terper,TM
terpers,TM
